시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기
2023,경기도,구리시,186972.0,92476.5,94495.5,4851.0,7416.5,16881.5,47694.5,64116.5,55069.5
2023,경기도,군포시,262606.5,130239.5,132367.0,6726.5,9587.0,24366.5,70428.0,86714.5,79523.5
2023,경기도,김포시,483168.5,241287.5,241881.0,18549.0,28966.5,52316.0,117950.0,164718.0,121720.5
2023,경기도,남양주시,731185.5,362766.0,368419.5,21812.0,35018.0,79301.0,168988.5,254391.5,208913.5
2023,경기도,동두천시,89416.0,44598.0,44818.0,1834.5,3071.0,7974.0,19071.5,28535.0,37097.5
2023,경기도,부천시,781052.0,386033.5,395018.5,19700.5,27387.5,65345.5,208527.0,258410.0,239297.5
2023,경기도,성남시,915389.5,452884.0,462505.5,25525.0,35756.5,83835.5,251827.5,300529.5,265476.0
2023,경기도,수원시,1188668.5,597784.0,590884.5,35148.0,49526.0,114140.0,359183.5,394480.5,284674.0
2023,경기도,시흥시,514060.5,268055.0,246005.5,18532.0,25975.0,51234.5,140956.5,183284.0,111785.5
2023,경기도,안산시,631681.5,323252.5,308429.0,15333.5,21488.5,57333.5,179191.5,220507.5,165281.0
2023,경기도,안성시,188165.5,97197.0,90968.5,4573.5,7128.0,17434.5,43984.0,61618.5,67400.0
2023,경기도,안양시,543899.0,268450.5,275448.5,15777.0,20409.0,49122.0,148030.0,177565.0,160004.5
2023,경기도,양주시,254565.5,128623.0,125942.5,8425.5,12020.0,25914.0,59997.5,84938.5,78110.5
2023,경기도,양평군,123169.0,61844.5,61324.5,2533.5,4017.5,9906.0,20362.0,37113.5,61650.5
2023,경기도,여주시,113439.0,57659.0,55780.0,2604.5,3789.0,9318.0,22507.5,35647.5,49870.5
2023,경기도,연천군,41595.5,21823.5,19772.0,944.5,1228.0,2871.5,8589.0,11035.0,22134.5
2023,경기도,오산시,228893.0,119141.0,109752.0,7194.0,11779.5,25401.0,64621.0,79749.5,48024.0
2023,경기도,용인시,1070219.0,530774.0,539445.0,32322.5,52004.5,120554.0,267348.5,369642.5,284399.0
2023,경기도,의왕시,158844.5,78764.0,80080.5,5068.5,6710.0,13543.5,42912.0,50973.5,47726.0
2023,경기도,의정부시,461303.0,226580.5,234722.5,12940.5,17909.5,40639.0,120777.5,152216.5,143471.0
2023,경기도,이천시,221661.0,115320.0,106341.0,6409.5,9637.0,21978.5,59795.0,70474.0,65925.5
2023,경기도,파주시,494451.0,250612.5,243838.5,16539.0,24668.0,51681.0,126813.0,164775.5,138220.5
2023,경기도,평택시,581949.5,305384.5,276565.0,21137.0,27644.0,55735.0,167689.5,195260.0,140967.5
2023,경기도,포천시,144364.0,76367.0,67997.0,2909.5,4114.5,10874.0,30562.5,45911.0,62305.0
2023,경기도,하남시,326734.5,162840.0,163894.5,12695.5,18704.5,30987.0,88255.5,107437.5,80714.0
2023,경기도,화성시,925102.5,480515.5,444587.0,39580.5,56321.5,107887.0,262742.5,313560.5,174038.0
2023,강원도,강원도,1526763.0,767650.0,759113.0,39645.5,53774.5,130475.0,325374.0,471897.5,641897.5
2023,강원도,강릉시,209691.5,103896.0,105795.5,4883.0,6892.0,17669.0,43594.5,66246.0,89323.0
2023,강원도,고성군,27219.5,14000.5,13219.0,557.5,727.5,1592.0,4891.0,7642.5,15344.5
2023,강원도,동해시,88678.5,45040.5,43638.0,2188.5,3438.5,8351.5,16985.5,29171.0,35669.5
2023,강원도,삼척시,62897.0,31901.0,30996.0,1509.5,1784.0,4906.5,11630.5,18733.0,31710.5
2023,강원도,속초시,82080.0,40636.0,41444.0,2133.0,3096.5,6933.5,17371.0,26634.0,32085.0
