시점,행정구역(시군구)별,성별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,남양주시,계,731185.5,21812,35018,40882,38419,40329,42289.5,40927,45443,65352.5,63995.5,68028,57015.5,53707,42195.5,28033.5,21249,26489.5,15740,10749.5,7504,2566,572.5,107
2023,남양주시,남자,362766,11238,17970.5,20970.5,19761,21027.5,21832,20751,22242.5,32192,32053.5,34526,28863.5,26824.5,20175.5,13041,9511.5,9785.5,6503.5,3282,2530,636.5,98.5,17
2023,남양주시,여자,368419.5,10574,17047.5,19911.5,18658,19301.5,20457.5,20176,23200.5,33160.5,31942,33502,28152,26882.5,22020,14992.5,11737.5,16704,9236.5,7467.5,4974,1929.5,474,90
2023,오산시,계,228893,7194,11779.5,13405,11996,13037,16268.5,17310,18005.5,23399.5,20866,19789.5,15694.5,14120.5,9765,6084.5,4551.5,5626.5,3377,2249.5,1609,504.5,126,10
2023,오산시,남자,119141,3699.5,5956.5,6895,6188,6833,9157,9856,9665,12564.5,11080,10443,8120,7164.5,4727.5,2830,1956,2005.5,1329,676.5,536,117.5,22,1
2023,오산시,여자,109752,3494.5,5823,6510,5808,6204,7111.5,7454,8340.5,10835,9786,9346.5,7574.5,6956,5037.5,3254.5,2595.5,3621,2048,1573,1073,387,104,9
2023,시흥시,계,514060.5,18532,25975,26480,24754.5,29765.5,35381.5,37168.5,38641,48424,43998.5,47849.5,43012,37043,22777.5,12843.5,9024.5,12390,7073,5317,3667,1294.5,306,49.5
2023,시흥시,남자,268055,9447.5,13119.5,13548,12681,16287.5,19162.5,20231,20494.5,26002,23827,24739,22548,20050,11685,6294,3954,3984.5,2615.5,1369,1037,266.5,58,7.5
2023,시흥시,여자,246005.5,9084.5,12855.5,12932,12073.5,13478,16219,16937.5,18146.5,22422,20171.5,23110.5,20464,16993,11092.5,6549.5,5070.5,8405.5,4457.5,3948,2630,1028,248,42
2023,군포시,계,262606.5,6726.5,9587,11697.5,12669,15540.5,18675.5,19174.5,17037.5,19676.5,20362,24449,22227,22798.5,15874.5,9134.5,6897,10079.5,5419.5,4660,3212,1140,264,44
2023,군포시,남자,130239.5,3480,4910,6045,6548,8087.5,9786.5,10162.5,8982.5,9910,9882,11949.5,10799,11031.5,7750,4439.5,2954.5,3521.5,2098.5,1423,1044,311,59,9
2023,군포시,여자,132367,3246.5,4677,5652.5,6121,7453,8889,9012,8055,9766.5,10480,12499.5,11428,11767,8124.5,4695,3942.5,6558,3321,3237,2168,829,205,35
2023,의왕시,계,158844.5,5068.5,6710,6702,6841.5,9291,11076.5,11649.5,10895,11779,11180,14120.5,13894,14037.5,10267.5,5776,3994.5,5561.5,3034,2527.5,1691.5,655,157.5,23.5
2023,의왕시,남자,78764,2643,3423,3458.5,3512.5,4828.5,5862.5,6000.5,5549.5,6054.5,5515,6617,6745,6803.5,5097,2876.5,1837.5,1940,1223,717,530,156.5,28,2.5
2023,의왕시,여자,80080.5,2425.5,3287,3243.5,3329,4462.5,5214,5649,5345.5,5724.5,5665,7503.5,7149,7234,5170.5,2899.5,2157,3621.5,1811,1810.5,1161.5,498.5,129.5,21
2023,하남시,계,326734.5,12695.5,18704.5,17332.5,13654.5,15335,21061.5,24750,27109,33430.5,26739,25565.5,21702.5,22743.5,18059.5,11695,7715,8441.5,4823.5,3618,2433,921,224.5,39.5
2023,하남시,남자,162840,6559.5,9510,8774,6898,7750.5,10407,12241.5,13530,16967,14015.5,13063,10798.5,10983,8706.5,5754,3854.5,3027.5,2020,1007.5,771.5,193,38,5
2023,하남시,여자,163894.5,6136,9194.5,8558.5,6756.5,7584.5,10654.5,12508.5,13579,16463.5,12723.5,12502.5,10904,11760.5,9353,5941,3860.5,5414,2803.5,2610.5,1661.5,728,186.5,34.5
2023,용인시,계,1070219,32322.5,52004.5,61197.5,59356.5,65322,67969.5,64613,69444,94970.5,96123.5,100723.5,77825,67725.5,51998,37778.5,31344.5,39500.5,22949,16551.5,11543.5,3995,878,135
2023,용인시,남자,530774,16513,26580,31227.5,30421,33835,35886.5,33018,34202,46542.5,47380,50383.5,39508.5,33993.5,24339.5,16934,13879.5,16130,10202.5,5927.5,4527.5,1192.5,180,27.5
2023,용인시,여자,539445,15809.5,25424.5,29970,28935.5,31487,32083,31595,35242,48428,48743.5,50340,38316.5,33732,27658.5,20844.5,17465,23370.5,12746.5,10624,7016,2802.5,698,107.5
2023,파주시,계,494451,16539,24668,27015.5,24665.5,26440.5,31105.5,33323.5,35943.5,43475.5,40471,44346,36483,34390.5,25493,16521,13769.5,19800.5,11355,8445.5,5873,2049.5,455,68
2023,파주시,남자,250612.5,8481,12613.5,13710,12581,14222,17012.5,17070.5,19069,22642,20508.5,23057.5,18905.5,17557,12564.5,7589.5,5958,7070.5,4419.5,2651,2011,547.5,76,16.5
2023,파주시,여자,243838.5,8058,12054.5,13305.5,12084.5,12218.5,14093,16253,16874.5,20833.5,19962.5,21288.5,17577.5,16833.5,12928.5,8931.5,7811.5,12730,6935.5,5794.5,3862,1502,379,51.5
2023,이천시,계,221661,6409.5,9637,10908.5,11070,12576,16934.5,15684,14600.5,17409,17169.5,18751,17144.5,17626.5,12827,8166.5,6025.5,8721.5,4884.5,3837,2738.5,872.5,197.5,28.5
2023,이천시,남자,115320,3315,4966.5,5606.5,5740,6827,10089.5,8986.5,7606.5,9340.5,8700,9849.5,8787,9099,6580.5,3942,2778,3106,1930,1176,897.5,233,39.5,6
2023,이천시,여자,106341,3094.5,4670.5,5302,5330,5749,6845,6697.5,6994,8068.5,8469.5,8901.5,8357.5,8527.5,6246.5,4224.5,3247.5,5615.5,2954.5,2661,1841,639.5,158,22.5
2023,안성시,계,188165.5,4573.5,7128,8787,8647.5,10814.5,11499,10703,10967.5,14760,14588,16795,15475.5,16318.5,12708.5,8415.5,6390,9594.5,5216,4378.5,3091,1050.5,204,33
2023,안성시,남자,97197,2402.5,3680.5,4497.5,4507.5,5807,6492.5,6064,5948,7930,7767.5,8981,8106.5,8372,6367.5,4125,2879.5,3268.5,2003.5,1265,984,242.5,34.5,4
2023,안성시,여자,90968.5,2171,3447.5,4289.5,4140,5007.5,5006.5,4639,5019.5,6830,6820.5,7814,7369,7946.5,6341,4290.5,3510.5,6326,3212.5,3113.5,2107,808,169.5,29
2023,김포시,계,483168.5,18549,28966.5,29436.5,22879.5,22722,27013,30645,37570,50953.5,42564.5,38760.5,32439.5,31734.5,25223.5,16692,12170,14849,8646.5,6202.5,4302.5,1502,351.5,46.5
2023,김포시,남자,241287.5,9608.5,14737.5,14964,11606.5,11828,13729,15052.5,18351.5,25758,22270,19957,16380,15925.5,12044.5,7849.5,5702.5,5523,3582,1941,1487,379.5,62,12.5
2023,김포시,여자,241881,8940.5,14229,14472.5,11273,10894,13284,15592.5,19218.5,25195.5,20294.5,18803.5,16059.5,15809,13179,8842.5,6467.5,9326,5064.5,4261.5,2815.5,1122.5,289.5,34
