시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기,CCTV,1인가구비율,경찰서수,강력범죄_살인계,강력범죄_강도,강력범죄_성범죄,절도범죄_전체,폭력범죄_전체,지능범죄_재산범죄,풍속범죄_전체,특별경제범죄_전체,마약범죄_전체,보건범죄_전체,환경범죄_전체,교통범죄_전체,노동범죄_전체,안보범죄_전체,선거범죄_전체,병역범죄_전체,기타범죄_전체
2023,전라남도,전라남도,1806802.0,909893.0,896909.0,45142.5,66124.0,160151.5,352135.5,552811.0,835404.0,32947.0,37.1,22.0,0.020478170823366365,0.00608810483937919,0.3652862903627514,3.165814516477179,1.0820222691805743,6.735104344582306,0.3713743952021306,0.9879333762083503,0.2540400110250044,0.1367056268478782,0.1328313783137278,6.176105627512035,0.03597516495996794,0.002213856305228797,0.0675226173094783,0.13559869869526378,11.938220125946286
2023,전라남도,강진군,32859.5,15990.5,16869.0,598.5,805.5,2292.0,4579.5,8580.0,22484.0,990.0,41.7,1.0,0.0,0.0,0.45648899100716683,3.8649401238606793,1.156438777218156,6.056087280695081,0.30432599400477794,0.578219388609078,0.18259559640286677,0.06086519880095558,0.15216299700238897,7.821178045922793,0.06086519880095558,0.0,0.09129779820143338,0.03043259940047779,4.717052907074057
2023,전라남도,고흥군,61327.5,29931.5,31396.0,937.5,1186.0,3456.0,6739.0,15106.5,48146.0,1748.0,43.1,1.0,0.0489176959765195,0.0,0.195670783906078,2.560026089437854,1.092495210142269,5.674452733276262,0.1793648852472382,0.5054828584240348,0.16305898658839835,0.3098120745179569,0.21197668256491786,5.95165301047654,0.0,0.0,0.097835391953039,0.097835391953039,110.08112184582774
2023,전라남도,곡성군,26916.0,13339.5,13576.5,270.0,544.5,1678.5,3600.5,7240.5,19600.5,622.0,44.9,1.0,0.0,0.0,0.3343736067766384,3.157972952890474,0.9288155743795512,5.201367216525487,0.44583147570218457,0.48298409867736664,0.1486104919007282,0.18576311487591024,0.0743052459503641,7.61628770991232,0.0,0.0,0.0743052459503641,0.0743052459503641,3.789567543468569
2023,전라남도,광양시,152155.0,79548.5,72606.5,5005.0,6716.0,15688.0,36612.5,52839.0,44157.5,1250.0,32.2,1.0,0.006572245407643521,0.0,0.28917879793631496,3.0692386053695246,1.0318425290000328,6.17791068318491,0.32204002497453255,2.7274818441720616,0.11830041733758338,0.16430613519108803,0.03286122703821761,5.941309848509743,0.06572245407643522,0.0,0.0,0.09858368111465282,3.8250468272485296
2023,전라남도,구례군,24431.5,11947.5,12484.0,333.0,550.5,1650.5,2996.0,6863.5,16815.0,1317.0,40.9,1.0,0.0,0.0,0.3274461248797659,2.7423612958680392,1.4735075619589464,5.0754149356363705,0.2455845936598244,0.3274461248797659,0.16372306243988294,0.08186153121994147,0.2455845936598244,4.543314982706751,0.0,0.0,0.08186153121994147,0.040930765609970735,4.420522685876839
2023,전라남도,나주시,116683.0,58854.0,57829.0,3852.5,5253.0,9990.0,25537.5,34396.0,50140.0,2029.0,40.1,1.0,0.008570228739405054,0.0,0.2999580058791769,3.2823976071921357,0.9341549325951509,7.147570768663815,0.39423052201263253,0.8398824164616954,0.2656770909215567,0.0771320586546455,0.11998320235167077,4.987873126333741,0.0,0.008570228739405054,0.21425571848512637,0.21425571848512637,3.7194792729017934
2023,전라남도,담양군,45489.0,23015.5,22473.5,862.5,1143.0,2926.5,7380.5,12833.5,27647.5,913.0,36.0,1.0,0.0,0.0,0.2638000395700059,2.06643364329838,0.4176833959858427,4.198817296489261,0.10991668315416914,0.43966673261667655,0.13190001978500296,0.0,0.04396667326166766,6.682934335773483,0.0,0.0,0.13190001978500296,0.21983336630833827,3.2755171579942406
2023,전라남도,목포시,214931.5,106730.5,108201.0,4885.5,9291.0,23537.5,46845.0,71428.5,72374.0,2587.0,38.1,1.0,0.01861058058032443,0.013957935435243322,0.5490121271195706,4.713129531967161,0.9398343193063837,10.398661899256275,0.6374123848761117,1.2050350925760067,0.21867432181881205,0.16749522522291985,0.08374761261145992,6.685851073481551,0.03722116116064886,0.0,0.01861058058032443,0.1395793543524332,5.806501141061222
2023,전라남도,무안군,90294.5,45425.0,44869.5,2792.5,4539.0,10017.5,19543.0,27979.0,33196.0,1144.0,36.7,1.0,0.011074871669924524,0.0,0.2657969200781886,3.388910730996905,1.118562038662377,4.308125079600639,0.5426687118263017,0.6312676851856979,0.21042256172856597,0.07752410168947167,0.21042256172856597,5.005841994805885,0.03322461500977358,0.0,0.022149743339849048,0.2990215350879622,3.8208307261239614
